Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,213.089996,213.389999,212.169998,212.380005,196.649185,58275700
2016-10-18,214.240005,214.309998,213.270004,213.710007,197.880661,76869700
2016-10-19,214.020004,214.639999,213.600006,214.279999,198.408432,66519200
2016-10-20,213.869995,214.529999,213.110001,213.880005,198.038086,73639800
2016-10-21,213.880005,214.080002,212.759995,213.979996,198.130661,89089100
2016-10-24,215.000000,215.320007,214.479996,214.889999,198.973267,60146600
2016-10-25,214.679993,214.979996,213.979996,214.169998,198.306564,66542300
2016-10-26,213.210007,214.419998,212.929993,213.740005,197.908432,75705500
2016-10-27,214.580002,214.619995,213.080002,213.169998,197.380661,77220200
2016-10-28,213.139999,213.929993,211.710007,212.539993,196.797333,140623200
2016-10-31,212.929993,213.190002,212.360001,212.550003,196.806595,61272500
2016-11-01,212.929993,212.990005,209.600006,211.009995,195.380661,122781800
2016-11-02,210.649994,211.100006,209.229996,209.740005,194.204712,103330800
2016-11-03,209.990005,210.240005,208.460007,208.779999,193.315811,88939300
2016-11-04,208.910004,209.889999,208.380005,208.550003,193.102814,109122100
2016-11-07,208.550003,213.190002,208.550003,213.149994,197.362137,109794900
2016-11-08,212.690002,214.770004,212.380005,214.110001,198.251022,106772100
2016-11-09,212.369995,217.100006,212.339996,216.380005,200.352905,258429000
2016-11-10,217.300003,218.309998,215.220001,216.919998,200.852905,172113300
2016-11-11,216.080002,216.699997,215.320007,216.419998,200.389908,100552700
2016-11-14,217.029999,217.270004,215.720001,216.589996,200.547348,94580000
2016-11-15,217.039993,218.279999,216.800003,218.279999,202.112167,91652600
2016-11-16,217.559998,218.139999,217.419998,217.869995,201.732498,65617700
2016-11-17,218.050003,219.059998,217.919998,218.990005,202.769577,69797200
2016-11-18,219.070007,219.270004,218.289993,218.500000,202.315857,86265800
2016-11-21,219.169998,220.179993,219.000000,220.149994,203.843658,72402600
2016-11-22,220.509995,220.789993,219.729996,220.580002,204.241821,67429000
2016-11-23,219.979996,220.759995,219.750000,220.699997,204.352921,56620200
2016-11-25,221.100006,221.559998,221.009995,221.520004,205.112183,37872300
2016-11-28,221.160004,221.479996,220.360001,220.479996,204.149216,76572500
2016-11-29,220.520004,221.440002,220.169998,220.910004,204.547394,69886700
2016-11-30,221.630005,221.820007,220.309998,220.380005,204.056641,113291800
2016-12-01,220.729996,220.729996,219.149994,219.570007,203.306641,79040500
2016-12-02,219.669998,220.250000,219.259995,219.679993,203.408447,74840300
2016-12-05,220.649994,221.399994,220.419998,221.000000,204.630692,67837800
2016-12-06,221.220001,221.740005,220.660004,221.699997,205.278854,59877400
2016-12-07,221.520004,224.669998,221.380005,224.600006,207.964050,110738100
2016-12-08,224.570007,225.699997,224.259995,225.149994,208.473282,99714400
2016-12-09,225.410004,226.529999,225.369995,226.509995,209.732544,88005800
2016-12-12,226.399994,226.960007,225.759995,226.250000,209.491821,102016100
2016-12-13,227.020004,228.339996,227.000000,227.759995,210.889969,110477500
2016-12-14,227.410004,228.229996,225.369995,225.880005,209.149246,142501800
2016-12-15,226.160004,227.809998,225.889999,226.809998,210.010361,124972600
2016-12-16,226.009995,226.080002,224.669998,225.039993,209.599579,156420200
2016-12-19,225.250000,226.020004,225.080002,225.529999,210.055969,90341100
2016-12-20,226.149994,226.570007,225.880005,226.399994,210.866318,89838800
2016-12-21,226.250000,226.449997,225.770004,225.770004,210.279526,67909000
2016-12-22,225.600006,225.740005,224.919998,225.380005,209.916260,56219100
2016-12-23,225.429993,225.720001,225.210007,225.710007,210.223648,36697800
2016-12-27,226.020004,226.729996,226.000000,226.270004,210.745209,42672500
2016-12-28,226.570007,226.589996,224.270004,224.399994,209.003510,64095000
2016-12-29,224.479996,224.889999,223.839996,224.350006,208.956924,48696100
2016-12-30,224.729996,224.830002,222.729996,223.529999,208.193207,108998300
2017-01-03,225.039993,225.830002,223.880005,225.240005,209.785889,91366500
2017-01-04,225.619995,226.750000,225.610001,226.580002,211.033981,78744400
2017-01-05,226.270004,226.580002,225.479996,226.399994,210.866318,78379000
2017-01-06,226.529999,227.750000,225.899994,227.210007,211.620728,71559900
2017-01-09,226.910004,227.070007,226.419998,226.460007,210.922211,46939700
2017-01-10,226.479996,227.449997,226.009995,226.460007,210.922211,63771900
2017-01-11,226.360001,227.100006,225.589996,227.100006,211.518295,74650000
2017-01-12,226.500000,226.750000,224.960007,226.529999,210.987366,72113200
2017-01-13,226.729996,227.399994,226.690002,227.050003,211.471741,62717900
