Date,Open,High,Low,Close,Adj Close,Volume
2008-10-15,97.459999,97.800003,89.709999,90.019997,70.444847,484627500
2008-10-16,91.290001,94.769997,86.540001,93.769997,73.379387,708811200
2008-10-17,91.989998,98.589996,91.650002,93.209999,72.941162,476649000
2008-10-20,95.349998,99.099998,94.089996,98.809998,77.323456,321294200
2008-10-21,96.970001,98.639999,95.220001,95.860001,75.014938,356502000
2008-10-22,93.199997,95.860001,87.529999,90.639999,70.930054,516168000
2008-10-23,90.290001,92.449997,85.809998,91.690002,71.751709,634666400
2008-10-24,84.059998,89.919998,84.000000,87.040001,68.112877,545812600
2008-10-27,85.970001,89.510002,83.699997,83.949997,65.694809,397288600
2008-10-28,87.339996,94.239998,84.529999,93.760002,73.371605,639939500
2008-10-29,93.769997,97.169998,92.099998,93.080002,72.839439,531270100
2008-10-30,95.779999,96.540001,92.900002,96.300003,75.359245,414582100
2008-10-31,95.080002,98.570000,94.480003,96.830002,75.773994,411394000
2008-11-03,96.779999,97.690002,95.949997,97.110001,75.993111,205419400
2008-11-04,99.059998,100.860001,96.709999,100.410004,78.575523,346793400
2008-11-05,99.199997,100.709999,95.000000,96.190002,75.273178,387844100
2008-11-06,94.459999,95.440002,90.059998,90.860001,71.102196,477721900
2008-11-07,91.650002,94.000000,90.500000,93.860001,73.449821,380391000
2008-11-10,95.209999,95.529999,90.919998,92.629997,72.487312,301773000
2008-11-11,90.760002,92.139999,88.650002,89.769997,70.249214,418498200
2008-11-12,88.230003,88.949997,85.120003,85.820000,67.158165,454330600
2008-11-13,86.129997,91.730003,82.089996,91.169998,71.344772,753141900
2008-11-14,89.410004,92.059998,86.519997,86.620003,67.784210,540352300
2008-11-17,86.379997,88.559998,85.160004,85.470001,66.884285,415254900
2008-11-18,85.150002,87.220001,82.910004,87.080002,68.144180,523811800
2008-11-19,85.910004,86.870003,80.919998,81.500000,63.777573,558327600
2008-11-20,80.129997,82.510002,75.050003,75.449997,59.043156,814180400
2008-11-21,77.459999,80.900002,74.339996,79.519997,62.228092,718536500
2008-11-24,81.919998,86.989998,80.360001,85.029999,66.539963,523305300
2008-11-25,87.300003,87.510002,83.820000,85.660004,67.032967,454112400
2008-11-26,84.300003,89.190002,84.239998,88.970001,69.623184,370134200
2008-11-28,88.629997,90.129997,88.480003,90.089996,70.499649,118308100
2008-12-01,87.510002,87.550003,81.860001,82.110001,64.254929,369927100
2008-12-02,83.470001,85.489998,82.040001,85.269997,66.727768,469508400
2008-12-03,83.400002,87.830002,83.139999,87.320000,68.331993,519863500
2008-12-04,86.059998,88.050003,83.739998,85.300003,66.751244,444173800
2008-12-05,83.650002,88.419998,82.239998,87.930000,68.809326,471905300
2008-12-08,90.339996,92.379997,88.080002,91.000000,71.211746,412859300
2008-12-09,90.370003,92.129997,88.980003,89.500000,70.037926,370790000
2008-12-10,90.320000,91.360001,89.000000,90.110001,70.515274,396187400
2008-12-11,89.540001,91.000000,87.370003,87.940002,68.817184,365061000
2008-12-12,85.550003,89.070000,85.199997,88.989998,69.638824,415060400
2008-12-15,89.019997,89.150002,86.290001,87.750000,68.668480,256694200
2008-12-16,91.879997,92.019997,88.180000,91.879997,71.900398,377699500
2008-12-17,90.839996,92.430000,90.059998,90.989998,71.203926,281819800
2008-12-18,91.400002,91.669998,88.209999,89.290001,69.873611,374673300
2008-12-19,89.099998,90.620003,88.089996,88.190002,69.573029,301451300
2008-12-22,88.580002,88.669998,85.489998,87.059998,68.681564,243759500
2008-12-23,87.529999,87.930000,85.800003,86.160004,67.971573,221625200
2008-12-24,86.449997,86.870003,86.000000,86.660004,68.365997,62061600
2008-12-26,87.239998,87.300003,86.500000,87.160004,68.760460,74767700
2008-12-29,87.239998,87.330002,85.599998,86.910004,68.563240,127795900
2008-12-30,87.510002,89.050003,86.879997,88.970001,70.188370,168256300
2008-12-31,89.080002,90.970001,88.870003,90.239998,71.190262,193987200
2009-01-02,90.440002,93.440002,89.849998,92.959999,73.336082,227566300
2009-01-05,92.629997,93.660004,91.889999,92.849998,73.249290,240349700
2009-01-06,93.639999,94.449997,92.680000,93.470001,73.738411,328260900
2009-01-07,92.000000,92.260002,90.199997,90.669998,71.529503,280899200
2009-01-08,90.160004,91.089996,89.669998,91.040001,71.821396,263834400
2009-01-09,91.160004,91.320000,85.360001,89.089996,70.283035,330953600
2009-01-12,88.839996,88.910004,86.410004,86.949997,68.594765,277858500
2009-01-13,86.730003,87.879997,86.199997,87.110001,68.721016,356432300
2009-01-14,85.540001,85.750000,83.160004,84.370003,66.559456,435491600
