Date,Open,High,Low,Close,Adj Close,Volume
2012-10-15,143.229996,144.229996,142.770004,144.080002,122.879723,107689100
2012-10-16,144.759995,145.639999,144.660004,145.539993,124.124886,108815500
2012-10-17,145.639999,146.320007,145.419998,146.199997,124.687843,128834100
2012-10-18,145.820007,146.520004,145.330002,145.820007,124.363747,148108500
2012-10-19,145.550003,145.559998,143.050003,143.389999,122.291275,185645200
2012-10-22,143.149994,143.669998,142.279999,143.410004,122.308350,125578600
2012-10-23,141.860001,142.059998,140.830002,141.419998,120.611153,192056300
2012-10-24,141.929993,142.100006,140.800003,141.020004,120.269974,120179400
2012-10-25,142.020004,142.279999,140.570007,141.429993,120.619682,134457400
2012-10-26,141.300003,141.839996,140.389999,141.350006,120.551430,146023500
2012-10-31,141.850006,142.029999,140.679993,141.350006,120.551430,103438500
2012-11-01,141.649994,143.009995,141.520004,142.830002,121.813667,100995600
2012-11-02,143.679993,143.720001,141.410004,141.559998,120.730560,137702200
2012-11-05,141.350006,142.169998,140.929993,141.850006,120.977867,98378500
2012-11-06,142.279999,143.520004,142.130005,142.960007,121.924561,107068100
2012-11-07,141.660004,141.679993,139.059998,139.720001,119.161293,264304500
2012-11-08,139.699997,140.410004,137.929993,138.039993,117.728500,181517300
2012-11-09,137.619995,139.440002,137.550003,138.160004,117.830833,201055300
2012-11-12,138.589996,138.809998,137.960007,138.270004,117.924660,97677500
2012-11-13,137.539993,139.250000,137.360001,137.789993,117.515266,123018300
2012-11-14,138.210007,138.429993,135.619995,135.929993,115.928940,191505000
2012-11-15,135.979996,136.490005,135.179993,135.699997,115.732803,178128400
2012-11-16,135.899994,136.639999,134.699997,136.369995,116.304214,239483900
2012-11-19,137.899994,139.149994,136.410004,139.130005,118.658127,151495800
2012-11-20,138.910004,139.419998,138.080002,139.190002,118.709251,119807400
2012-11-21,139.309998,139.570007,139.029999,139.449997,118.930992,81710800
2012-11-23,140.130005,141.399994,140.039993,141.350006,120.551430,65409200
2012-11-26,140.649994,141.360001,140.190002,141.050003,120.295586,100124400
2012-11-27,140.910004,141.389999,140.240005,140.330002,119.681549,128646200
2012-11-28,139.759995,141.539993,139.000000,141.460007,120.645248,177086500
2012-11-29,141.990005,142.509995,141.369995,142.119995,121.208115,151085900
2012-11-30,142.139999,142.419998,141.660004,142.149994,121.233719,136568300
2012-12-03,142.800003,142.919998,141.339996,141.449997,120.636719,124656300
2012-12-04,141.440002,141.869995,140.869995,141.250000,120.466171,127512200
2012-12-05,141.369995,142.160004,140.369995,141.500000,120.679375,147300500
2012-12-06,141.369995,142.039993,141.160004,141.979996,121.088730,103220600
2012-12-07,142.529999,142.690002,141.669998,142.410004,121.455490,108726400
2012-12-10,142.210007,142.809998,142.149994,142.470001,121.506676,98840700
2012-12-11,143.059998,144.110001,142.990005,143.440002,122.333916,152570400
2012-12-12,144.000000,144.550003,143.309998,143.509995,122.393600,145880100
2012-12-13,143.419998,143.830002,142.270004,142.630005,121.643082,135715000
2012-12-14,142.320007,142.580002,141.880005,142.100006,121.191109,137701700
2012-12-17,142.470001,143.850006,142.429993,143.770004,122.615379,143238200
2012-12-18,144.000000,145.500000,143.789993,145.369995,123.979935,177762800
2012-12-19,145.529999,145.580002,144.240005,144.289993,123.058807,150895400
2012-12-20,144.380005,145.139999,143.979996,145.119995,123.766701,168487000
2012-12-21,142.169998,144.089996,141.940002,142.789993,122.643265,245883800
2012-12-24,142.479996,142.559998,142.190002,142.350006,122.265373,53874600
2012-12-26,142.639999,142.710007,141.350006,141.750000,121.750061,106947700
2012-12-27,141.789993,142.080002,139.919998,141.559998,121.586861,167920600
2012-12-28,140.639999,141.419998,139.869995,140.029999,120.272682,148806700
2012-12-31,139.660004,142.559998,139.539993,142.410004,122.316879,243935200
2013-01-02,145.110001,146.149994,144.729996,146.059998,125.451904,192059000
2013-01-03,145.990005,146.369995,145.339996,145.729996,125.168480,144761800
2013-01-04,145.970001,146.610001,145.669998,146.369995,125.718124,116817700
2013-01-07,145.850006,146.110001,145.429993,145.970001,125.374611,110002500
2013-01-08,145.710007,145.910004,144.979996,145.550003,125.013870,121265100
2013-01-09,145.869995,146.320007,145.639999,145.919998,125.331642,90745600
2013-01-10,146.729996,147.089996,145.970001,147.080002,126.327988,130735400
2013-01-11,147.039993,147.149994,146.610001,147.070007,126.319420,113917300
2013-01-14,146.889999,147.070007,146.429993,146.970001,126.233482,89567200
