Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,36.630001,37.060001,35.500000,36.990002,36.954552,1036600
2020-03-03,37.770000,38.520000,36.810001,37.130001,37.094418,715200
2020-03-04,38.130001,38.580002,37.549999,38.520000,38.483086,433300
2020-03-05,37.639999,38.939999,37.380001,38.330002,38.293270,488600
2020-03-06,37.299999,37.660000,36.230000,36.880001,36.844658,419900
2020-03-09,32.529999,34.119999,31.350000,31.930000,31.899401,1002300
2020-03-10,33.950001,34.000000,31.950001,33.099998,33.068279,498500
2020-03-11,32.110001,32.410000,30.200001,30.969999,30.940321,1230600
2020-03-12,27.559999,28.150000,26.200001,26.549999,26.524555,1191400
2020-03-13,28.480000,28.990000,26.049999,27.170000,27.143963,541900
2020-03-16,23.070000,24.410000,22.379999,22.799999,22.778149,750500
2020-03-17,23.750000,25.100000,22.870001,24.500000,24.476521,712200
2020-03-18,22.770000,23.770000,21.139999,22.250000,22.228678,848600
2020-03-19,22.059999,23.580000,21.200001,23.000000,22.977959,604900
2020-03-20,23.780001,24.549999,22.620001,22.750000,22.728199,774500
2020-03-23,22.580000,22.850000,21.459999,22.219999,22.198706,758300
2020-03-24,23.870001,25.379999,23.709999,25.219999,25.195831,606200
2020-03-25,26.190001,27.549999,25.040001,26.400000,26.374701,525600
2020-03-26,26.870001,27.950001,26.799999,27.160000,27.133972,502100
2020-03-27,25.900000,26.000000,24.900000,24.969999,24.946070,752200
2020-03-30,25.100000,25.410000,24.600000,25.139999,25.115908,336000
2020-03-31,25.160000,25.879999,25.000000,25.230000,25.205822,392800
2020-04-01,24.590000,24.709999,23.770000,23.850000,23.827145,331300
2020-04-02,23.920000,24.930000,23.879999,24.520000,24.496502,189200
2020-04-03,24.450001,24.580000,23.580000,23.820000,23.797173,177900
2020-04-06,24.719999,25.879999,24.719999,25.719999,25.695351,237700
2020-04-07,27.280001,27.570000,26.250000,26.410000,26.384691,290000
2020-04-08,26.740000,27.639999,26.590000,27.490000,27.463655,159600
2020-04-09,27.969999,28.629999,27.450001,27.969999,27.943195,282900
2020-04-13,27.790001,27.870001,26.920000,27.610001,27.583542,207700
2020-04-14,28.790001,29.190001,28.530001,29.070000,29.042141,264500
2020-04-15,28.360001,28.360001,27.629999,27.990000,27.963177,268900
2020-04-16,28.290001,28.450001,27.400000,27.770000,27.743387,179700
2020-04-17,28.790001,28.990000,28.520000,28.900000,28.872305,268400
2020-04-20,28.500000,29.299999,28.270000,28.639999,28.612553,176400
2020-04-21,28.129999,28.480000,27.370001,27.590000,27.563560,195500
2020-04-22,28.090000,28.570000,27.900000,28.450001,28.422737,218200
2020-04-23,28.580000,29.340000,28.500000,28.940001,28.912266,201500
2020-04-24,28.920000,28.920000,28.020000,28.370001,28.342813,177400
2020-04-27,28.420000,29.000000,28.360001,28.860001,28.832344,153100
2020-04-28,29.350000,29.770000,29.080000,29.389999,29.361834,318700
2020-04-29,30.150000,31.350000,30.000000,31.190001,31.160110,465400
2020-04-30,30.990000,30.990000,30.010000,30.120001,30.091137,184600
2020-05-01,29.540001,29.709999,28.360001,28.799999,28.772400,379100
2020-05-04,28.610001,29.309999,28.430000,29.260000,29.231960,160300
2020-05-05,29.990000,30.209999,29.340000,29.379999,29.351843,212200
2020-05-06,29.889999,30.840000,29.870001,30.590000,30.560684,270100
2020-05-07,30.549999,31.000000,30.320000,30.870001,30.840418,224900
2020-05-08,31.719999,32.270000,31.440001,32.209999,32.179131,371100
2020-05-11,32.020000,32.400002,31.530001,32.220001,32.189125,292800
2020-05-12,32.480000,33.029999,31.760000,31.799999,31.769524,316300
2020-05-13,31.959999,32.110001,30.500000,31.120001,31.090178,300400
2020-05-14,30.350000,30.889999,29.610001,30.889999,30.860397,389400
2020-05-15,30.700001,30.920000,30.309999,30.889999,30.860397,108900
2020-05-18,31.850000,32.959999,31.850000,32.880001,32.848492,266600
2020-05-19,32.959999,34.169998,32.950001,33.549999,33.517849,263800
2020-05-20,34.349998,34.549999,33.509998,33.810001,33.777599,244900
2020-05-21,33.639999,33.840000,32.840000,33.270000,33.238117,191900
2020-05-22,33.320000,33.369999,32.599998,32.700001,32.668663,199500
2020-05-26,33.779999,34.189999,33.619999,33.750000,33.717655,249900
2020-05-27,34.009998,34.009998,32.369999,33.650002,33.617752,286800
2020-05-28,33.610001,34.020000,32.930000,33.049999,33.018326,177100
2020-05-29,33.110001,33.840000,33.000000,33.759998,33.727646,174100
2020-06-01,33.869999,34.939999,33.730000,34.869999,34.836582,1321700
2020-06-02,35.220001,35.369999,34.549999,34.669998,34.636772,685200
2020-06-03,34.799999,35.279999,34.560001,35.130001,35.096336,532100
2020-06-04,35.099998,35.290001,34.360001,34.570000,34.536869,339300
2020-06-05,35.549999,36.000000,35.349998,35.560001,35.525925,272200
2020-06-08,35.860001,36.400002,35.529999,36.400002,36.365120,251400
2020-06-09,35.830002,35.840000,35.400002,35.619999,35.585865,260500
2020-06-10,35.860001,35.860001,34.779999,35.220001,35.186249,276300
2020-06-11,33.730000,34.340000,32.970001,33.070000,33.038307,569800
2020-06-12,34.230000,34.480000,33.369999,34.060001,34.027359,211500
2020-06-15,33.320000,34.950001,33.150002,34.790001,34.756660,524500
2020-06-16,35.820000,36.110001,35.070000,35.470001,35.436008,272900
2020-06-17,35.560001,35.630001,33.939999,34.009998,33.977406,442800
2020-06-18,34.250000,35.209999,34.250000,34.939999,34.906513,245200
2020-06-19,35.400002,36.029999,35.110001,35.160000,35.126305,253500
2020-06-22,35.410000,35.480000,34.900002,35.360001,35.326115,157100
2020-06-23,35.869999,36.189999,35.770000,36.009998,35.975491,267700
2020-06-24,35.950001,36.259998,35.250000,36.009998,35.975491,366200
2020-06-25,35.639999,35.919998,35.259998,35.910000,35.875587,211800
2020-06-26,35.759998,35.759998,34.849998,34.889999,34.856564,319900
2020-06-29,35.349998,36.060001,35.070000,36.029999,35.995472,196600
2020-06-30,35.910000,36.220001,35.840000,36.099998,36.065403,180800
2020-07-01,36.180000,36.970001,36.119999,36.779999,36.744751,422300
2020-07-02,37.340000,37.849998,37.169998,37.340000,37.304214,294600
2020-07-06,38.220001,39.259998,38.220001,39.240002,39.202396,733500
2020-07-07,39.369999,40.240002,39.130001,39.700001,39.661957,464000
2020-07-08,40.029999,41.630001,40.000000,41.580002,41.540154,443000
2020-07-09,41.970001,42.080002,40.680000,41.389999,41.350334,615500
2020-07-10,41.380001,41.419998,40.840000,41.369999,41.330353,445100
2020-07-13,41.820000,43.070000,40.970001,41.020000,40.980690,677600
2020-07-14,40.730000,43.049999,40.310001,43.009998,42.968781,751500
2020-07-15,43.619999,44.070000,43.060001,43.830002,43.787998,1494600
2020-07-16,43.259998,43.419998,42.610001,42.880001,42.838909,709800
2020-07-17,43.220001,43.900002,42.930000,43.889999,43.847939,568400
2020-07-20,44.410000,46.070000,44.259998,45.650002,45.606255,847200
2020-07-21,46.450001,46.450001,45.139999,45.520000,45.476379,1075500
2020-07-22,45.320000,45.889999,45.200001,45.730000,45.686176,326100
2020-07-23,45.939999,46.930000,45.459999,46.150002,46.105774,590300
2020-07-24,45.389999,45.389999,43.980000,44.930000,44.886944,511200
2020-07-27,45.389999,46.389999,45.349998,46.310001,46.265621,502400
2020-07-28,46.110001,46.200001,44.720001,44.759998,44.717102,347100
2020-07-29,44.970001,45.340000,44.639999,44.930000,44.886944,284900
2020-07-30,44.869999,45.150002,44.520000,45.049999,45.006828,234500
2020-07-31,45.330002,45.419998,44.540001,45.009998,44.966866,775900
2020-08-03,45.119999,46.180000,44.709999,46.049999,46.005867,1016000
2020-08-04,47.240002,49.189999,47.099998,49.060001,49.012985,973300
2020-08-05,49.169998,50.860001,48.689999,50.770000,50.721348,810600
2020-08-06,50.730000,51.230000,49.619999,50.119999,50.071968,685200
2020-08-07,50.310001,52.060001,50.290001,51.200001,51.150936,786500
2020-08-10,51.310001,52.000000,50.860001,51.279999,51.230858,872100
2020-08-11,51.720001,51.820000,49.470001,49.680000,49.632389,826700
2020-08-12,49.959999,51.580002,49.770000,51.110001,51.061020,698800
2020-08-13,51.410000,52.759998,51.330002,52.410000,52.359776,625200
2020-08-14,52.230000,52.610001,51.250000,51.560001,51.510590,503200
2020-08-17,51.990002,52.910000,51.910000,52.349998,52.299831,454500
2020-08-18,52.650002,52.880001,51.529999,52.360001,52.309822,465800
2020-08-19,52.340000,53.470001,52.320000,52.720001,52.669479,595200
2020-08-20,52.459999,52.500000,51.930000,52.009998,51.960155,340200
2020-08-21,52.009998,52.680000,51.750000,52.439999,52.389744,322800
2020-08-24,53.189999,53.750000,52.869999,53.500000,53.448730,622100
2020-08-25,54.230000,55.110001,53.639999,55.110001,55.057186,1102600
2020-08-26,55.139999,55.720001,54.770000,54.919998,54.867367,757700
2020-08-27,55.259998,55.669998,54.680000,55.060001,55.007236,632100
2020-08-28,55.500000,57.189999,55.270000,56.860001,56.805511,1360200
2020-08-31,57.099998,57.730000,56.330002,56.790001,56.735577,749800
2020-09-01,56.970001,57.599998,56.610001,57.509998,57.454884,454300
2020-09-02,57.630001,57.950001,55.700001,56.980000,56.925396,995900
2020-09-03,56.189999,56.279999,52.040001,52.590000,52.539600,2644000
2020-09-04,52.389999,52.759998,47.980000,51.500000,51.450645,1693400
2020-09-08,49.840000,52.259998,49.490002,51.320000,51.270817,946600
2020-09-09,52.430000,53.360001,52.090000,53.209999,53.159008,801200
